discharge_from_lake,discharge_from_sea,discharge_to_lake,discharge_to_sea,mass_transport_lake,mass_transport_sea,salinity_to_lake,salinity_to_sea,volume_from_lake,volume_from_sea,volume_to_lake,volume_to_sea
0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
7.413566020614149,0.0,7.503580405326613,0.0,-22643.003653376683,0.0,14.958497207651872,15.0,1601.3302619440112,0.0,1620.7733690600112,0.0
0.0,3.948631580332853,0.0,0.0,0.0,-18906.048,11.540335853824667,11.540335853824667,0.0,675.216,0.0,0.0
0.0,3.484055019498651,0.0,3.4844127270037606,0.0,-105683.8300258287,13.097816557450612,13.180097255787286,0.0,7131.860625309602,0.0,7132.592852572602
0.0,0.0,3.6107807505940004,0.0,-18846.025163413164,0.0,27.911105725298516,27.911105725298516,0.0,0.0,675.216,0.0
1.090399726826787,0.0,1.0866405812375797,0.0,-156436.74675469706,0.0,27.827318602379297,27.911105725298516,5852.175334379,0.0,5832.0,0.0
0.0,6.84588292816505,0.0,0.0,0.0,-39295.368,3.6827318602379324,3.6827318602379324,0.0,1403.406,0.0,0.0
0.0,13.068816968021933,0.0,13.165890699959418,0.0,-56106.203067926486,8.011698300752467,8.064470295320719,0.0,2822.8644595061182,0.0,2843.8323855631184
0.0,0.0,6.84588292816505,0.0,-21288.328154838182,0.0,15.169044563610376,15.169044563610376,0.0,0.0,1403.406,0.0
0.07564124074029042,0.0,0.07567134867255772,0.0,-82401.71533890304,0.0,15.072621244576707,15.169044563610376,5852.967926057,0.0,5855.29761764,0.0
0.0,0.0,0.0,3.6752530116053914,0.0,1471.7369196581799,2.4123196495908483,2.4123196495908483,0.0,0.0,0.0,610.092
0.0,0.5521601815532806,0.0,0.7297756862314538,0.0,-96521.86971787112,2.4123196495908483,8.793016168626187,0.0,5893.20561764,0.0,7788.895899045
3.446847455290273,0.0,0.0,0.0,610.092,0.0,28.0,28.0,610.092,0.0,0.0,0.0
0.9556143385022131,0.0,0.8571978871529001,0.0,-97054.0704631845,0.0,15.073938909845076,24.38841475633206,7750.987899045,0.0,6952.732062207,0.0
0.0,3.2977125020610694,0.0,0.0,0.0,-14773.751999999997,2.6462167087312523,2.6462167087312523,0.0,527.6339999999999,0.0,0.0
0.0,0.125623857291406,0.0,0.10830294881273839,0.0,-167258.2156364445,4.918637454730721,8.610043576098796,0.0,8128.366062207001,0.0,7007.634000000001
0.0,0.0,6.064758620689654,0.0,-14773.751999999997,0.0,28.0,28.0,0.0,0.0,527.6339999999999,0.0
10.047806285571156,0.0,10.077798643131187,0.0,-58721.61621227944,0.0,27.97308721192131,28.0,2170.3261597046435,0.0,2176.8045089436437,0.0
0.0,0.6531702130439004,0.0,0.0,0.0,-1719.1439999999952,18.956974334563984,18.956974334563984,0.0,61.39799999999983,0.0,0.0
0.0,0.8259832222350925,0.0,0.9207425130967362,0.0,-37505.397332212364,19.041936923161657,19.97972477797982,0.0,6547.569001966785,0.0,7298.725900547785
0.0,0.0,0.3039504949291277,0.0,-1719.1181835330187,0.0,27.99957952267213,27.99957952267213,0.0,0.0,61.39799999999983,0.0
0.1283878589379025,0.0,0.14003852360355792,0.0,-142881.45316094783,0.0,20.795638241577837,27.999579522672125,6589.63524782,0.0,7187.617262447,0.0
0.0,9.423350651798271,0.0,0.0,0.0,-60950.231999999996,3.384281515188579,3.384281515188579,0.0,2176.794,0.0,0.0
0.0,0.31745121314537644,0.0,0.33207708779072476,0.0,-113223.96045943594,10.723283189785093,15.95647897141655,0.0,10012.411262447,0.0,10473.711348754
0.0,0.0,13.777177211701979,0.0,-60950.231999999996,0.0,28.0,28.0,0.0,0.0,2176.794,0.0
1.6625663983444345,0.0,1.7480773935660952,0.0,-117986.46642301086,0.0,15.623906776181343,28.0,7647.805430836013,0.0,8041.156008776014,0.0
0.0,1.0588909075507043,0.0,0.0,0.0,-3261.384,2.946285058616503,2.946285058616503,0.0,116.47800000000001,0.0,0.0
0.0,0.12478032710830674,0.0,0.10325395179038299,0.0,-149512.72872217884,3.611598976593747,13.320991365072048,0.0,8806.745926694,0.0,7287.457409498
0.0,0.0,0.7713774830350318,0.0,-3261.384,0.0,27.999999999999996,27.999999999999996,0.0,0.0,116.47800000000001,0.0
1.0599576550613032,0.0,1.2028758120107983,0.0,-145340.90360252868,0.0,20.515221779754913,27.999999999999996,6522.979409498,0.0,7402.497747399,0.0
0.0,0.0,0.0,2.7261059620702692,0.0,1404.560339131427,3.4120919127091676,3.4120919127091676,0.0,0.0,0.0,411.642
0.0,0.6999776182379328,0.0,0.7023474620552572,0.0,-109868.8355242761,3.412091912709168,13.571161704603139,0.0,7638.8557473989995,0.0,7664.717852975999
5.965826071393497,0.0,0.0,0.0,411.642,0.0,28.0,28.0,411.642,0.0,0.0,0.0
0.11017218914404989,0.0,0.08649610678603387,0.0,-107073.19511970719,0.0,19.6333256126,25.72417015476194,7428.359852976,0.0,5832.0,0.0
0.0,4.194310344827587,0.0,0.0,0.0,-20434.68,2.863332561259999,2.863332561259999,0.0,729.8100000000001,0.0,0.0
0.0,10.982957345000013,0.0,12.703301435759135,0.0,-84329.46219132305,5.407781203244579,7.230123001510065,0.0,4294.336324615833,0.0,4966.990864528833
0.0,0.0,4.344107141305677,0.0,-13767.318549310838,0.0,18.864250351887254,18.864250351887254,0.0,0.0,729.8100000000001,0.0
1.5563094832388096,0.0,1.397548255853478,0.0,-92707.35336792035,0.0,16.98718398684922,18.864250351887254,6503.81733140291,0.0,5840.35416206291,0.0
0.0,0.0,0.0,0.8035199988750721,0.0,209.16060723925253,2.6030541522208845,2.6030541522208845,0.0,0.0,0.0,80.352
0.0,0.3321674806097342,0.0,0.33304741230558904,0.0,-161822.71370024656,2.603054152220884,2.7428090932569424,0.0,6408.839370573,0.0,6425.816772712
0.6479999995819354,0.0,0.0,0.0,80.352,0.0,27.999999999999996,27.999999999999996,80.352,0.0,0.0,0.0
0.09698473209466396,0.0,0.09655149578666586,0.0,-154849.3764503864,0.0,27.55616344703333,27.663842464484205,5858.168772712,0.0,5832.0,0.0
0.0,6.314759998737048,0.0,0.0,0.0,-35362.656,3.6556163447033336,3.6556163447033336,0.0,1262.952,0.0,0.0
0.0,12.832993142977907,0.0,12.858723608430795,0.0,-56391.12802974241,7.626425930791977,7.641020529235777,0.0,2771.9265214647858,0.0,2777.4843020077856
0.0,0.0,6.3785454545454545,0.0,-18843.28565699346,0.0,14.920033110516837,14.920033110516837,0.0,0.0,1262.952,0.0
0.05988160004699677,0.0,0.05982458839860946,0.0,-81106.44727972959,0.0,14.908094146137275,14.920033110516838,5837.557780543,0.0,5832.0,0.0
0.0,4.116872093980668,0.0,0.0,0.0,-19826.856,2.3908094146137304,2.3908094146137304,0.0,708.102,0.0,0.0
0.0,10.063776746416082,0.0,14.102816966548573,0.0,-75039.97935529753,4.913578161063515,9.70876416556109,0.0,5213.036358561287,0.0,7305.259194162287
0.0,0.0,4.291527272727272,0.0,-15335.062826613434,0.0,21.656573243139313,21.656573243139313,0.0,0.0,708.102,0.0
6.761457646703305,0.0,6.398922300654213,0.0,-76666.41410151697,0.0,12.22268058521649,21.656573243139313,7255.044054900052,0.0,6866.043628590052,0.0
0.0,2.6935199989225924,0.0,0.0,0.0,-11312.784,3.8431354789410066,3.8431354789410066,0.0,404.028,0.0,0.0
0.0,1.4086696867365136,0.0,1.1292696851780804,0.0,-163082.19656613588,5.727021968759813,11.237725194321127,0.0,8587.250409290999,0.0,6884.027999999999
