scenario,mass_transport_lake,mass_transport_sea,volume_from_lake,volume_from_sea,volume_to_lake,volume_to_sea,salinity_to_sea,salinity_to_lake,flux_transport_lake,flux_transport_sea,discharge_from_lake,discharge_from_sea,discharge_to_lake,discharge_to_sea,duration_days,total_steps
2023,-484134663.6703562,-484182943.51205283,21519734.304028414,28288890.195138734,24336390.809920076,25473142.509246994,12.087475341531242,20.77770701184948,-15.384843765254711,-15.386378003303031,0.6838546689205834,0.8989650785282202,0.7733624516416264,0.8094861763124556,364.21627314815123,18922
2050hsk,-480834392.14291483,-480858188.22350615,21186019.007915497,28107066.308167126,23984972.030250803,25309713.10380945,12.095738389033551,20.93062316344013,-15.298333944880769,-15.299091046272462,0.674059091948959,0.8942606719060242,0.7631112037184348,0.8052594603010805,363.7790162037054,18942
2050lvk,-477251992.3573465,-477349460.79227793,21020652.96370448,27674758.013280455,23803271.259953093,24891538.859031904,11.953610633101274,20.93294824393943,-15.160553397671217,-15.163649614001434,0.6677494003451736,0.8791260242949707,0.7561430245545553,0.7907133130206037,364.3501504629676,18614
