discharge_from_lake,discharge_from_sea,discharge_to_lake,discharge_to_sea,mass_transport_lake,mass_transport_sea,salinity_to_lake,salinity_to_sea,volume_from_lake,volume_from_sea,volume_to_lake,volume_to_sea
0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
0.2513576415846199,0.0,0.3282762869196851,0.0,-85931.19938172,0.0,12.047685227843044,15.0,5832.0,0.0,7616.66640905,0.0
0.0,5.642156248236827,0.0,0.0,0.0,-30332.232000000004,2.4000000000000004,2.4000000000000004,0.0,1083.294,0.0,0.0
0.0,0.16584984048591722,0.0,0.13418660847490388,0.0,-170171.19938172,7.199119853896112,12.107382321998857,0.0,9347.960409050002,0.0,7563.294000000001
0.0,0.0,7.034376625203735,0.0,-30332.232000000004,0.0,28.0,28.0,0.0,0.0,1083.294,0.0
8.632734602596555,0.0,8.845320403138379,0.0,-108802.60904794394,0.0,27.600607590115892,28.0,3988.323385290108,0.0,4086.538025113108,0.0
0.0,0.0,0.0,3.2703749983648125,0.0,5955.737939221241,11.381985894624547,11.381985894624547,0.0,0.0,0.0,523.26
0.0,0.3124170393607322,0.0,0.39493040212360425,0.0,-52579.69552852119,11.381985894624547,15.280480996708445,0.0,6054.9546398229995,0.0,7654.146123523
2.9562711844364267,0.0,0.0,0.0,523.26,0.0,28.0,28.0,523.26,0.0,0.0,0.0
0.11701799893526917,0.0,0.0906378217079321,0.0,-101804.40707486808,0.0,18.74722448532083,25.04595030126055,7529.406123523,0.0,5832.0,0.0
0.0,3.136075474064963,0.0,0.0,0.0,-13961.808000000003,2.7747224485320827,2.7747224485320827,0.0,498.6360000000001,0.0,0.0
0.0,10.64560452556289,0.0,13.432862424481241,0.0,-76964.63654644536,4.577113560083647,7.461134341082598,0.0,4141.140171488708,0.0,5225.383497059708
0.0,0.0,3.324240002659393,0.0,-9212.95497955022,0.0,18.476313341897132,18.476313341897132,0.0,0.0,498.6360000000001,0.0
0.0685129306730583,0.0,0.05839852348990556,0.0,-83939.10192723478,0.0,15.411712442099391,18.476313341897132,6916.243325571,0.0,5895.2141492480005,0.0
0.0,0.0,0.0,2.381958618389833,0.0,847.9919901332252,2.455215036403612,2.455215036403612,0.0,0.0,0.0,345.384
0.0,0.07300841244501886,0.0,0.07247183973681015,0.0,-156368.07515470096,2.455215036403612,2.7910255459926447,0.0,6197.830149248,0.0,6152.279418903
1.9736228569173004,0.0,0.0,0.0,345.384,0.0,28.0,28.0,345.384,0.0,0.0,0.0
