time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
620116.999999783,0.0,4,,,,0.0,,,,2181.000000005588
622477.9999997467,0.4326,1,,,,,,172.99999997999998,,
622650.9999999544,0.4326,2,,,1257.632244594,,,,398.9999996032566,
623230.0000001444,0.5702999999999999,3,,,,,,184.99999986,,
623415.000000014,0.5702999999999999,4,,,,646.485549643,,,,7095.999999158084
630690.9999997588,1.283499999,1,,,,,,228.00000006,,
630919.0000002505,1.283499999,2,,,2336.723283776,,,,13573.999999696389,
644672.999999905,1.2620999990000001,3,,,,,,226.99999986,,
644900.000000163,1.2620999990000001,4,,,,224.685037776,,,,32551.99999907054
677631.9999998203,0.7287,1,,,,,,195.99999989999998,,
677827.9999997467,0.7287,2,,,0.0,,,,8397.000000276603,
686404.9999999814,0.6257,3,,,,,,188.99999993999998,,
686594.0000001574,0.6257,4,,,,1656.997638988,,,,512.9999998491257
687286.9999999646,0.5816,1,,,,,,185.0000001,,
687471.9999998342,0.5816,2,,,0.0,,,,2954.000000283122,
690606.0000000754,0.34609999999999996,3,,,,,,161.99999994,,
690768.0000002263,0.34609999999999996,4,,,,441.132149938,,,,342.99999908544123
691290.9999998985,0.289,1,,,,,,156.0,,
691446.9999999041,0.289,2,,,0.0,,,,3235.9999995678663,
694863.0000000587,-0.024,3,,,,,,83.99999994000001,,
694947.0000002068,-0.024,4,,,,1038.509094584,,,,498.0000007431954
695625.0000002794,-0.0917,1,,,,,,116.99999988,,
695741.9999999693,-0.0917,2,,,0.0,,,,13907.000000216067,
709829.0000001434,-0.4566,3,,,,,,173.99999982,,
710002.9999999562,-0.4566,4,,,,1490.075257156,,,,427.9999994672835
710611.0000000102,-0.3807,1,,,,,,167.00000004,,
710778.0000000726,-0.3807,2,,,698.761477665,,,,45279.00000005029,
756237.000000081,0.1315,3,,,,,,127.99999998,,
756364.9999998277,0.1315,4,,,,1347.488866276,,,,16761.99999935925
773306.9999997737,0.8044,1,,,,,,201.00000006000002,,
773508.0000002403,0.8044,2,,,0.0,,,,6829.999999841675,
780518.00000004,0.4923,3,,,,,,177.9999999,,
780696.0000001593,0.4923,4,,,,1345.503491828,,,,420.0000001117587
781296.0000002291,0.4232,1,,,,,,171.99999996,,
781468.000000203,0.4232,2,,,0.0,,,,420.0000001117587,
782068.0000002729,0.35459999999999997,3,,,,,,163.99999998,,
782232.0000002626,0.35459999999999997,4,,,,108.961954643,,,,452.0000000484288
782864.0000002692,0.29000000000000004,1,,,,,,154.99999998,,
783019.000000041,0.29000000000000004,2,,,0.0,,,,1838.0000009201467,
785037.0000002906,0.1149,3,,,,,,123.99999984,,
785160.9999997308,0.1149,4,,,,480.519458432,,,,346.00000041536987
785687.0000001043,0.0625,1,,,,,,106.99999985999999,,
785793.9999999711,0.0625,2,,,112.524461633,,,,485.9999991953373,
786459.9999997532,0.027100000000000003,3,,,,,,85.99999998,,
786545.9999997402,0.027100000000000003,4,,,,57.089843848,,,,1292.0000002719462
788017.9999999702,-0.042100000000000005,1,,,,,,96.0,,
788113.9999997802,-0.042100000000000005,2,,,1171.573354288,,,,1478.0000010039657,
789772.0000001136,-0.1202,3,,,,,,124.99999986,,
789896.9999997877,-0.1202,4,,,,1672.830923469,,,,9810.000001173466
799887.0000002906,0.4675,1,,,,,,175.99999986,,
800062.9999999423,0.4675,2,,,565.124910615,,,,622.0000008121133,
800865.0000000838,0.5929,3,,,,,,186.9999999,,
801051.9999997923,0.5929,4,,,,0.0,,,,40706.00000037812
841938.0000001285,0.0604,1,,,,,,104.99999982,,
842043.0000001565,0.0604,2,,,1621.947884745,,,,419.0000005066395,
842641.9999999925,0.16219999899999998,3,,,,,,135.00000012,,
842777.0000001183,0.16219999899999998,4,,,,38.589481708,,,,13630.000000214204
856587.0000002906,1.1837,1,,,,,,222.99999996,,
856810.0000002421,1.1837,2,,,1437.704388613,,,,769.0000005997717,
857759.0000001714,1.188899999,3,,,,,,223.00000014,,
857982.0000001229,1.188899999,4,,,,1111.935534751,,,,598.000000230968
858760.000000312,1.1610999990000002,1,,,,,,221.99999994,,
858982.0000000298,1.1610999990000002,2,,,0.0,,,,3957.999999867752,
863119.9999998556,1.02,3,,,,,,213.99999996,,
863334.0000002179,1.02,4,,,,804.802229463,,,,391.0000002477318
863904.9999997951,0.9894000000000001,1,,,,,,212.0000001,,
864117.0000003185,0.9894000000000001,2,,,0.0,,,,391.99999985285103,
864689.0000001295,0.959,3,,,,,,209.99999982,,
864899.0000001853,0.959,4,,,,1780.696024095,,,,434.99999921768904
865513.9999999898,0.9038,1,,,,,,207.0,,
865720.999999973,0.9038,2,,,2033.8211827769999,,,,4091.999999759719,
869993.0000003194,0.498,3,,,,,,177.9999999,,
870170.99999981,0.498,4,,,,1386.682161145,,,,828.0000005615875
871179.0000003297,0.35960000000000003,1,,,,,,165.0,,
871343.9999999246,0.35960000000000003,2,,,1077.639894907,,,,20453.000000305474,
891977.0000001881,0.7994,3,,,,,,201.00000006000002,,
892178.0000000261,0.7994,4,,,,1070.023032805,,,,1056.000000424683
893413.9999997802,0.9072,1,,,,,,208.00000002000002,,
893621.9999999972,0.9072,2,,,0.0,,,,46352.00000004843,
940154.0000000037,1.0198,3,,,,,,213.99999996,,
940367.9999997374,1.0198,4,,,,1472.881443371,,,,428.99999970104545
940977.0000000251,1.059,1,,,,,,216.0,,
941193.0000002263,1.059,2,,,0.0,,,,17269.999999925494,
958643.0000001099,0.9585999999999999,3,,,,,,210.99999989999998,,
958853.9999997709,0.9585999999999999,4,,,,1433.230891545,,,,410.00000028871
959444.0000000177,0.8853,1,,,,,,205.99999998,,
959649.9999997672,0.8853,2,,,0.0,,,,409.99999966006726,
960240.000000014,0.8122999999999999,3,,,,,,201.00000006000002,,
960440.9999998519,0.8122999999999999,4,,,,1045.999974254,,,,395.9999995306134
961016.9999999693,0.741,1,,,,,,197.00000016,,
961214.0000001295,0.741,2,,,0.0,,,,920.9999996703118,
962314.9999997579,0.6275000000000001,3,,,,,,189.00000018,,
962503.9999999339,0.6275000000000001,4,,,,1954.81243755,,,,472.9999992996454
963156.9999998203,0.5737,1,,,,,,185.0000001,,
963342.0000003185,0.5737,2,,,1415.481204868,,,,4265.000000596046,
967787.000000244,0.3468,3,,,,,,162.99999996,,
967950.0,0.3468,4,,,,76.231523143,,,,4412.000000383705
972542.0000003418,0.44329999999999997,1,,,,,,172.99999997999998,,
972714.9999999208,0.44329999999999997,2,,,2128.994152629,,,,48294.99999973923,
1021190.0000002468,-0.3183,3,,,,,,160.00000008,,
1021349.9999999302,-0.3183,4,,,,779.922649187,,,,18598.999999416992
1040128.9999999339,0.07,1,,,,,,108.9999999,,
1040238.0000002682,0.07,2,,,0.0,,,,5552.000000327826,
1045969.9999999255,0.0733,3,,,,,,109.99999992000001,,
1046079.999999865,0.0733,4,,,,612.157865704,,,,375.999999884516
1046636.0000003362,0.04369999999999999,1,,,,,,96.99999984,,
1046732.9999997513,0.04369999999999999,2,,,1601.2267993689998,,,,69716.99999962002,
1116629.999999958,1.210699999,3,,,,,,224.00000015999998,,
1116854.0000001434,1.210699999,4,,,,80.22405048,,,,1906.0000004712492
1118939.9999999441,1.331,1,,,,,,230.0000001,,
1119170.0000002747,1.331,2,,,1657.7208524020002,,,,3828.9999992586672,
1123179.0000001201,1.5578,3,,,,,,239.99999994,,
1123419.0000002738,1.5578,4,,,,0.0,,,,5177.000000048429
1128776.0000002803,1.5394,1,,,,,,239.99999994,,
1129015.9999998054,1.5394,2,,,1416.058581056,,,,445.0000002980232,
1129641.0000000615,1.522599999,3,,,,,,238.99999992,,
1129879.9999999814,1.522599999,4,,,,0.0,,,,56048.000000976026
1186108.0000002868,-0.20040000000000002,1,,,,,,141.9999999,,
1186250.000000163,-0.20040000000000002,2,,,721.512218913,,,,390.99999899044633,
1186820.9999997402,-0.246,3,,,,,,149.00000004,,
1186969.9999999953,-0.246,4,,,,622.001516667,,,,16876.99999921024
1204026.9999997923,-0.05459999999999998,1,,,,,,101.99999994000001,,
1204128.9999997476,-0.05459999999999998,2,,,1540.416195267,,,,1538.9999995473772,
1205847.9999998817,0.03650000000000003,3,,,,,,92.99999994,,
1205941.0000002477,0.03650000000000003,4,,,,780.914604059,,,,1257.9999998677522
1207379.0000000736,0.1028,1,,,,,,120.0,,
1207498.999999836,0.1028,2,,,0.0,,,,8204.00000042282,
1215883.000000217,0.27549999999999997,3,,,,,,153.99999996,,
1216036.999999755,0.27549999999999997,4,,,,1171.83781854,,,,414.9999995715916
1216631.9999999134,0.2651,1,,,,,,151.99999992000002,,
1216784.0000002412,0.2651,2,,,0.0,,,,8976.99999944307,
1225941.000000271,-0.0797,3,,,,,,113.00000004,,
1226054.0000002831,-0.0797,4,,,,2247.358210368,,,,518.0000003892928
1226752.0000000019,-0.1113,1,,,,,,123.00000005999999,,
1226874.999999837,-0.1113,2,,,65.03706196099998,,,,649.9999998137355,
1227705.0000002375,-0.1483,3,,,,,,131.00000004,,
1227836.0000000568,-0.1483,4,,,,0.0,,,,6312.999999686144
1234329.0000003297,-0.3353,1,,,,,,161.99999994,,
1234490.999999852,-0.3353,2,,,1232.199279227,,,,433.0000000074506,
1235103.9999998175,-0.3546,3,,,,,,163.99999998,,
1235267.9999998072,-0.3546,4,,,,1901.091689203,,,,7842.000000039116
1243289.9999998044,0.013800000000000007,1,,,,,,73.00000008,,
