time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
579477.9999999795,0.7474000000000001,2,,,0.0,,,,1595.0000000651926,
581253.0000000028,0.5503,3,,,,,,183.00000006,,
581436.0000000335,0.5503,4,,,,1791.531239592,,,,428.00000072456896
582044.0000000875,0.47109999999999996,1,,,,,,176.0000001,,
582219.9999997392,0.47109999999999996,2,,,2281.490631622,,,,7895.000000484288,
590295.0000001816,-0.017,3,,,,,,75.99999996000001,,
590370.9999997169,-0.017,4,,,,1042.149915194,,,,1273.000000230968
591823.9999999059,-0.0085,1,,,,,,64.99999992000001,,
591889.000000013,-0.0085,2,,,2235.766169599,,,,6603.000000212342,
598672.0000001835,0.8413,3,,,,,,203.99999993999998,,
598876.0000000941,0.8413,4,,,,0.0,,,,1821.000000089407
600877.0000001416,1.063299999,1,,,,,,216.0,,
601092.9999997141,1.063299999,2,,,2042.419391586,,,,518.0000003892928,
601791.0000000615,1.1293,3,,,,,,220.00000008,,
602010.9999999404,1.1293,4,,,,1145.018627429,,,,5608.000000845641
607799.0000001155,1.5504999990000001,1,,,,,,240.99999996,,
608039.9999998743,1.5504999990000001,2,,,783.8872881070001,,,,5289.999999431893,
613509.9999998929,1.5361,3,,,,,,239.99999994,,
613750.0000000466,1.5361,4,,,,0.0,,,,38903.00000072457
652833.0000001006,0.7248,1,,,,,,195.99999989999998,,
653029.000000027,0.7248,2,,,1431.54283224,,,,450.99999918602407,
653659.9999997998,0.7225,3,,,,,,196.00000014,,
653855.9999997262,0.7225,4,,,,1770.725369156,,,,991.0000009462237
655027.0000000019,0.7174,1,,,,,,196.00000014,,
655222.9999999283,0.7174,2,,,0.0,,,,14424.999999348074,
669827.9999998631,-0.16310000000000002,3,,,,,,135.00000012,,
669962.9999999888,-0.16310000000000002,4,,,,1093.823714094,,,,471.00000008940697
670614.0000000363,-0.2198,1,,,,,,145.99999998,,
670759.9999995902,-0.2198,2,,,0.0,,,,2062.9999994533136,
673002.9999996303,-0.38489999999999996,3,,,,,,168.00000006,,
673170.9999999264,-0.38489999999999996,4,,,,870.850606747,,,,393.9999990630895
673744.9999995762,-0.4262,1,,,,,,172.0000002,,
673917.0000001788,-0.4262,2,,,1427.984412338,,,,664.0000005718321,
674761.0000000801,-0.48250000000000004,3,,,,,,177.00000011999998,,
674937.9999999655,-0.48250000000000004,4,,,,1490.853418891,,,,8205.00000002794
683322.9999999516,-0.43289999999999995,1,,,,,,171.99999996,,
683494.9999999255,-0.43289999999999995,2,,,0.0,,,,3616.00000038743,
687290.9999996424,-0.041099999999999984,3,,,,,,96.0,,
687387.000000081,-0.041099999999999984,4,,,,1048.371085325,,,,394.9999999254942
687961.9999999646,0.016699999999999993,1,,,,,,75.99999996000001,,
688038.0000001285,0.016699999999999993,2,,,1385.807213608,,,,43942.9999995511,
732160.9999996377,0.3861,3,,,,,,168.00000006,,
732328.9999999339,0.3861,4,,,,0.0,,,,1977.9999997001141
734486.9999995921,0.5283,1,,,,,,181.99999997999998,,
734669.0000000177,0.5283,2,,,92.05950255800008,,,,284.9999993573874,
735133.9999999618,0.5445,3,,,,,,181.99999997999998,,
735315.9999997588,0.5445,4,,,,561.604733288,,,,1248.9999996498227
736744.9999999953,0.5848,1,,,,,,186.00000011999998,,
736931.0000000987,0.5848,2,,,189.99784194700032,,,,8453.999999770895,
745564.9999998277,0.8071999999999999,3,,,,,,202.00000008,,
745766.9999998994,0.8071999999999999,4,,,,1890.118331182,,,,4632.999999867752
750579.9999997253,0.7124,1,,,,,,194.99999988,,
750775.0000000466,0.7124,2,,,51.260778973000015,,,,2103.0000006314367,
753058.0000000075,0.5541999989999999,3,,,,,,183.00000006,,
753241.0000000382,0.5541999989999999,4,,,,171.372080673,,,,6097.999999718741
759518.999999715,0.0349,1,,,,,,91.99999992,,
759610.9999998473,0.0349,2,,,0.0,,,,2568.0000005755574,
762358.9999997523,-0.09129999999999999,3,,,,,,116.99999988,,
