time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
682166.000000434,0.72,3,,,,,,195.99999989999998,,
682362.0000003604,0.72,4,,,,1222.641663009,,,,395.9999995306134
682937.9999998491,0.7158,1,,,,,,196.00000014,,
683134.0000004042,0.7158,2,,,0.0,,,,6206.999999424443,
689521.0000004154,0.5082,3,,,,,,179.99999994,,
689701.0000003735,0.5082,4,,,,52.463303435,,,,274.9999995343387
690155.9999998659,0.45539999999999997,1,,,,,,175.00000002,,
690330.9999999125,0.45539999999999997,2,,,0.0,,,,1563.0000001285225,
692073.9999999991,0.29550000000000004,3,,,,,,157.00000002000002,,
692231.0000002384,0.29550000000000004,4,,,,1774.747094096,,,,472.9999992996454
692884.0000001248,0.227999999,1,,,,,,147.0,,
693030.9999999125,0.227999999,2,,,2234.10364809,,,,3932.0000000763685,
697142.9999999469,-0.1407,3,,,,,,130.00000002,,
697273.0000001611,-0.1407,4,,,,793.447073946,,,,15359.999999776483
712812.9999998957,-0.24659999999999999,1,,,,,,150.00000006,,
712963.0000003846,-0.24659999999999999,2,,,0.0,,,,7530.00000002794,
720673.0000003707,0.3646,3,,,,,,165.0,,
720837.9999999655,0.3646,4,,,,1223.10912789,,,,495.00000067055225
721512.9999999655,0.4066,1,,,,,,168.9999999,,
721681.9999998668,0.4066,2,,,1098.978605384,,,,571.9999998109415,
722434.0000002645,0.44,3,,,,,,174.0,,
722608.0000000773,0.44,4,,,,0.0,,,,38659.999999869615
761447.999999905,0.5117,1,,,,,,179.99999994,,
761627.9999998631,0.5117,2,,,2220.160831142,,,,721.9999996712431,
762530.0000001211,0.5387,3,,,,,,183.00000006,,
762713.0000001518,0.5387,4,,,,0.0,,,,1368.000000435859
764260.9999999171,0.5820000000000001,1,,,,,,185.0000001,,
764446.0000004154,0.5820000000000001,2,,,1724.8425917939999,,,,529.99999942258,
765156.0000004247,0.6059,3,,,,,,187.99999992,,
765344.0000003669,0.6059,4,,,,78.559319028,,,,11880.999999353662
777405.0000003073,0.7413,1,,,,,,196.99999997999998,,
777601.9999998389,0.7413,2,,,69.86649009399997,,,,17414.000000269152,
795196.0000000661,-0.21669999999999998,3,,,,,,145.00000014,,
795341.0000000149,-0.21669999999999998,4,,,,0.0,,,,11057.999999960884
806578.9999999339,1.1044,1,,,,,,219.00000006,,
806798.0000002077,1.1044,2,,,2066.017661461,,,,518.0000003892928,
807495.9999999264,1.1935,3,,,,,,223.99999998,,
807720.0000001118,1.1935,4,,,,0.0,,,,356.9999998435378
808256.9999999134,1.2668000000000001,1,,,,,,227.00000004,,
808484.0000001714,1.2668000000000001,2,,,714.014714425,,,,392.99999945797026,
809057.0000002161,1.3379,3,,,,,,230.99999994,,
809288.0000001518,1.3379,4,,,,718.232939798,,,,38675.99999983795
848143.9999999478,0.8633000000000001,1,,,,,,204.99999996,,
848349.0000000922,0.8633000000000001,2,,,0.0,,,,9898.999999975786,
858428.0000000261,1.1891,3,,,,,,222.99999996,,
858650.9999999776,1.1891,4,,,,1410.013347819,,,,410.00000028871
859241.0000002244,1.1716,1,,,,,,221.99999994,,
859462.9999999423,1.1716,2,,,0.0,,,,2505.9999999124557,
862149.0000004414,1.0909,3,,,,,,217.99999986,,
862366.9999998529,1.0909,4,,,,1013.750320168,,,,400.0000004656613
862947.0000002766,1.0602,1,,,,,,216.0,,
